lr23,lr_sent,lr23_sent,naive,split,benchmark
0.7777777777777778,0.6000000000000001,0.7777777777777778,0.7333333333333334,216,UMCSENT
0.7777777777777778,0.5555555555555556,0.7777777777777778,0.711111111111111,217,UMCSENT
0.888888888888889,0.48888888888888893,0.888888888888889,0.888888888888889,218,UMCSENT
0.7555555555555555,0.5888888888888889,0.6888888888888889,0.5111111111111112,219,UMCSENT
0.8444444444444444,0.8222222222222222,0.8444444444444444,0.8444444444444444,220,UMCSENT
0.8,0.5222222222222223,0.8222222222222222,0.7111111111111112,221,UMCSENT
0.8888888888888888,0.7555555555555555,0.8444444444444446,0.4,222,UMCSENT
0.9333333333333333,0.8111111111111111,0.9111111111111112,0.8666666666666667,223,UMCSENT
0.7555555555555555,0.37777777777777777,0.7777777777777779,0.5333333333333334,224,UMCSENT
0.9333333333333333,0.9777777777777777,0.9333333333333333,0.8222222222222223,225,UMCSENT
0.9555555555555556,0.5111111111111111,0.9555555555555556,0.7777777777777778,226,UMCSENT
0.5111111111111111,0.7333333333333334,0.5111111111111111,0.7777777777777779,227,UMCSENT
0.8444444444444444,0.6222222222222222,0.8222222222222222,0.8,228,UMCSENT
0.888888888888889,0.5111111111111111,0.8666666666666667,0.48888888888888893,229,UMCSENT
0.8666666666666667,0.4666666666666667,0.8444444444444444,0.8,230,UMCSENT
0.8444444444444444,0.48888888888888893,0.8444444444444444,0.8666666666666667,231,UMCSENT
0.6888888888888889,0.8222222222222222,0.6888888888888889,0.8,232,UMCSENT
0.888888888888889,0.7777777777777779,0.9111111111111111,0.5999999999999999,233,UMCSENT
0.9111111111111112,0.8,0.9333333333333333,0.7777777777777778,234,UMCSENT
0.6222222222222223,0.6444444444444444,0.6222222222222223,0.8444444444444446,235,UMCSENT
0.888888888888889,0.6888888888888889,0.888888888888889,0.8888888888888888,236,UMCSENT
0.6888888888888889,0.4,0.6444444444444444,0.5777777777777778,237,UMCSENT
0.9111111111111112,0.3777777777777779,0.8666666666666667,0.4888888888888889,238,UMCSENT
0.9111111111111111,0.5222222222222221,0.9111111111111111,1.0,239,UMCSENT
0.7777777777777779,0.6222222222222222,0.7777777777777779,0.8444444444444446,240,UMCSENT
0.8,0.7555555555555556,0.8,0.7111111111111112,241,UMCSENT
0.6888888888888889,0.30000000000000004,0.5333333333333334,0.7777777777777778,242,UMCSENT
0.9111111111111111,0.7333333333333334,0.9111111111111111,0.9333333333333333,243,UMCSENT
0.8888888888888888,0.5555555555555556,0.9111111111111111,0.8,244,UMCSENT
0.8222222222222222,0.7333333333333334,0.8222222222222222,0.7111111111111111,245,UMCSENT
0.7777777777777778,0.28888888888888886,0.711111111111111,0.7555555555555555,246,UMCSENT
0.7555555555555555,0.3666666666666667,0.6888888888888889,0.7777777777777779,247,UMCSENT
0.9111111111111111,0.38888888888888895,0.9111111111111111,0.8444444444444446,248,UMCSENT
